[06/15/20 17:12:23] Frame : 27  Loop : 27
[06/15/20 17:12:24] Frame : 21  Loop : 21
[06/15/20 17:12:25] Frame : 12  Loop : 12
[06/15/20 17:12:26] Frame : 18  Loop : 18
[06/15/20 17:12:27] Frame : 41  Loop : 41
[06/15/20 17:12:28] Frame : 19  Loop : 19
[06/15/20 17:12:37] Frame : 21  Loop : 21
[06/15/20 17:12:38] Frame : 1  Loop : 1
[06/15/20 17:12:39] Frame : 37  Loop : 37
[06/15/20 17:12:40] Frame : 12  Loop : 12
[06/15/20 17:12:41] Frame : 30  Loop : 30
[06/15/20 17:12:42] Frame : 69  Loop : 69
[06/15/20 17:12:43] Frame : 26  Loop : 26
[06/15/20 17:12:44] Frame : 9  Loop : 9
[06/15/20 17:12:45] Frame : 16  Loop : 16
[06/15/20 17:12:46] Frame : 47  Loop : 47
[06/15/20 17:12:47] Frame : 40  Loop : 40
[06/15/20 17:12:48] Frame : 33  Loop : 33
[06/15/20 17:12:49] Frame : 23  Loop : 23
[06/15/20 17:12:52] Frame : 1  Loop : 1
[06/15/20 17:12:53] Frame : 40  Loop : 40
[06/15/20 17:12:54] Frame : 20  Loop : 20
[06/15/20 17:12:56] Frame : 15  Loop : 15
[06/15/20 17:12:56] Frame : 1  Loop : 1
[06/15/20 17:12:57] Frame : 19  Loop : 19
[06/15/20 17:13:03] Frame : 24  Loop : 24
[06/15/20 17:13:04] Frame : 1  Loop : 1
[06/15/20 17:13:05] Frame : 15  Loop : 15
[06/15/20 17:13:06] Frame : 20  Loop : 20
[06/15/20 17:13:08] Frame : 21  Loop : 21
[06/15/20 17:13:09] Frame : 20  Loop : 20
[06/15/20 17:13:25] Frame : 21  Loop : 21
[06/15/20 17:13:25] Frame : 1  Loop : 1
[06/15/20 17:13:26] Frame : 48  Loop : 48
[06/15/20 17:13:27] Frame : 1169  Loop : 12553
[06/15/20 17:13:30] Frame : 26  Loop : 20527
[06/15/20 17:13:37] Frame : 26  Loop : 25315
[06/15/20 17:14:16] Frame : 26  Loop : 22286
[06/15/20 17:14:18] Frame : 26  Loop : 20569
[06/15/20 17:14:55] Frame : 26  Loop : 20896
[06/15/20 17:15:21] Frame : 27  Loop : 7951
[06/15/20 17:15:24] Connect Session # IP:127.0.0.1 / SessionID:4 
[06/15/20 17:15:32] Frame : 11  Loop : 11
[06/15/20 17:15:33] Frame : 8  Loop : 8
[06/15/20 17:15:34] Frame : 12  Loop : 12
[06/15/20 17:15:35] Frame : 8  Loop : 8
[06/15/20 17:15:36] Frame : 95  Loop : 11609
[06/15/20 17:15:37] Frame : 22  Loop : 7200
[06/15/20 17:15:38] Frame : 11  Loop : 11
[06/15/20 17:15:38] Connect Session # IP:127.0.0.1 / SessionID:5 
[06/15/20 17:15:39] Frame : 8  Loop : 8
[06/15/20 17:15:40] Frame : 20  Loop : 20
[06/15/20 17:15:41] Frame : 68  Loop : 3516
[06/15/20 17:15:43] Frame : 24  Loop : 6257
[06/15/20 17:15:44] Frame : 27  Loop : 5723
[06/15/20 17:15:45] Frame : 18  Loop : 3708
[06/15/20 17:15:46] Frame : 34  Loop : 7983
[06/15/20 17:15:47] Frame : 15  Loop : 5377
[06/15/20 17:15:48] Frame : 13  Loop : 13
[06/15/20 17:15:49] Frame : 12  Loop : 12
[06/15/20 17:15:50] Frame : 12  Loop : 12
[06/15/20 17:15:51] Frame : 14  Loop : 14
[06/15/20 17:16:12] Frame : 12  Loop : 12
[06/15/20 17:16:13] Frame : 1  Loop : 1
[06/15/20 17:16:14] Frame : 614  Loop : 3867
[06/15/20 17:17:38] Frame : 24  Loop : 21307
[06/15/20 17:17:39] Frame : 27  Loop : 16592
[06/15/20 17:17:40] Frame : 26  Loop : 16662
[06/15/20 17:17:45] Frame : 26  Loop : 16443
[06/15/20 17:17:54] Frame : 26  Loop : 15001
[06/15/20 17:18:01] Frame : 26  Loop : 16267
[06/15/20 17:18:02] Frame : 26  Loop : 15956
[06/15/20 17:18:34] Frame : 24  Loop : 22160
[06/15/20 17:18:35] Frame : 27  Loop : 13959
[06/15/20 17:18:53] Frame : 30  Loop : 21739
[06/15/20 17:18:59] Frame : 26  Loop : 18193
[06/15/20 17:19:03] Frame : 26  Loop : 20339
[06/15/20 17:19:10] Frame : 26  Loop : 15411
[06/15/20 17:20:24] Frame : 26  Loop : 23547
[06/15/20 17:20:41] Frame : 27  Loop : 373
[06/15/20 17:20:43] Frame : 27  Loop : 166
[06/15/20 17:20:44] Frame : 15  Loop : 15
[06/15/20 17:20:45] Frame : 37  Loop : 257
[06/15/20 17:20:46] Frame : 11  Loop : 11
[06/15/20 17:20:47] Frame : 39  Loop : 165
[06/15/20 17:20:48] Frame : 9  Loop : 9
[06/15/20 17:20:49] Frame : 14  Loop : 14
[06/15/20 17:20:50] Frame : 11  Loop : 11
[06/15/20 17:20:51] Frame : 15  Loop : 15
[06/15/20 17:20:52] Frame : 81  Loop : 1850
[06/15/20 17:20:53] Frame : 11  Loop : 11
[06/15/20 17:20:54] Frame : 10  Loop : 10
[06/15/20 17:20:55] Frame : 61  Loop : 233
[06/15/20 17:20:56] Frame : 11  Loop : 11
[06/15/20 17:20:57] Frame : 19  Loop : 19
[06/15/20 17:20:58] Frame : 12  Loop : 12
[06/15/20 17:20:59] Frame : 12  Loop : 12
[06/15/20 17:21:00] Frame : 19  Loop : 19
[06/15/20 17:21:02] Frame : 9  Loop : 9
[06/15/20 17:21:03] Frame : 11  Loop : 11
[06/15/20 17:21:04] Frame : 12  Loop : 12
[06/15/20 17:21:05] Frame : 133  Loop : 14626
[06/15/20 17:21:23] Frame : 14  Loop : 19
[06/15/20 17:21:24] Frame : 11  Loop : 11
[06/15/20 17:21:25] Frame : 14  Loop : 14
[06/15/20 17:21:26] Frame : 18  Loop : 18
[06/15/20 17:21:27] Frame : 12  Loop : 12
[06/15/20 17:21:28] Frame : 16  Loop : 16
[06/15/20 17:21:29] Frame : 11  Loop : 11
[06/15/20 17:21:30] Frame : 12  Loop : 12
[06/15/20 17:21:31] Frame : 17  Loop : 17
[06/15/20 17:21:32] Frame : 12  Loop : 12
[06/15/20 17:21:33] Frame : 10  Loop : 10
[06/15/20 17:21:34] Frame : 15  Loop : 15
[06/15/20 17:21:35] Frame : 11  Loop : 11
[06/15/20 17:21:36] Frame : 12  Loop : 12
[06/15/20 17:21:37] Frame : 29  Loop : 29
[06/15/20 17:21:38] Frame : 10  Loop : 10
[06/15/20 17:21:39] Frame : 22  Loop : 22
[06/15/20 17:21:40] Frame : 14  Loop : 14
[06/15/20 17:21:41] Frame : 11  Loop : 11
[06/15/20 17:21:42] Frame : 14  Loop : 14
[06/15/20 17:21:43] Frame : 12  Loop : 12
[06/15/20 17:21:44] Frame : 11  Loop : 11
[06/15/20 17:21:46] Frame : 15  Loop : 15
[06/15/20 17:21:47] Frame : 10  Loop : 10
[06/15/20 17:21:48] Frame : 13  Loop : 13
[06/15/20 17:21:49] Frame : 12  Loop : 12
[06/15/20 17:21:50] Frame : 12  Loop : 12
[06/15/20 17:21:51] Frame : 15  Loop : 15
[06/15/20 17:21:52] Frame : 15  Loop : 15
[06/15/20 17:21:53] Frame : 11  Loop : 11
[06/15/20 17:21:54] Frame : 16  Loop : 16
